Date,id,T,U,Po,P,Ff,DD,Td,lat,lon,h,name,U10M,V10M
2012-11-08 05:00:00,71501,-12.2,90.0,1028.44875,1028.582072368421,7.0,270.0,-13.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,7.0,1.2858791391047206e-15
2012-11-08 11:00:00,71501,-6.7,95.0,1029.7819736842105,1030.0486184210527,8.0,292.5,-7.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,7.391036260090293,-3.06146745892072
2012-11-08 17:00:00,71501,-10.5,92.0,1031.1151973684214,1031.381842105263,6.0,292.5,-11.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,5.543277195067719,-2.29610059419054
2012-11-08 23:00:00,71501,-13.3,89.0,1028.1821052631578,1028.44875,1.0,315.0,-14.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,0.7071067811865477,-0.7071067811865474
2012-11-09 05:00:00,71501,-12.0,91.0,1023.515822368421,1023.649144736842,1.0,292.5,-13.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,0.9238795325112866,-0.38268343236509
2012-11-09 11:00:00,71501,-10.2,92.0,1020.7160526315787,1020.9826973684213,4.0,292.5,-11.3,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.6955181300451465,-1.53073372946036
2012-11-09 17:00:00,71501,-9.9,91.0,1017.5163157894738,1017.7829605263156,5.0,292.5,-11.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,4.619397662556434,-1.91341716182545
2012-11-09 23:00:00,71501,-8.4,92.0,1013.9166118421052,1014.0499342105264,4.0,292.5,-9.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.6955181300451465,-1.53073372946036
2012-11-10 05:00:00,71501,-10.1,91.0,1010.983519736842,1011.2501644736844,5.0,270.0,-11.3,69.56666666666666,-138.91666666666666,1.0,о.Хершел,5.0,9.18485099360515e-16
2012-11-10 11:00:00,71501,-6.6,93.0,1008.18375,1008.3170723684213,13.0,292.5,-7.6,69.56666666666666,-138.91666666666666,1.0,о.Хершел,12.010433922646726,-4.974884620746169
2012-11-10 17:00:00,71501,-6.9,94.0,1006.0505921052633,1006.3172368421052,17.0,292.5,-7.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,15.705952052691872,-6.50561835020653
2012-11-10 23:00:00,71501,-6.3,95.0,1007.3838157894736,1007.6504605263158,15.0,315.0,-7.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,10.606601717798217,-10.60660171779821
2012-11-11 05:00:00,71501,-6.7,93.0,1010.850197368421,1010.983519736842,7.0,0.0,-7.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-7.0
2012-11-11 11:00:00,71501,-9.7,89.0,1015.516480263158,1015.649802631579,5.0,22.5,-11.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-1.913417161825449,-4.619397662556434
2012-11-11 17:00:00,71501,-10.6,85.0,1018.8495394736842,1018.9828618421053,3.0,0.0,-12.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-3.0
2012-11-12 05:00:00,71501,-11.3,80.0,1023.115855263158,1023.3825,1.0,22.5,-14.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.3826834323650898,-0.9238795325112868
2012-11-12 11:00:00,71501,-19.1,79.0,1022.4492434210525,1022.5825657894736,1.0,0.0,-21.8,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-1.0
2012-11-12 17:00:00,71501,-14.8,83.0,1019.3828289473684,1019.6494736842103,5.0,270.0,-17.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,5.0,9.18485099360515e-16
2012-11-12 23:00:00,71501,-14.8,83.0,1017.2496710526317,1017.3829934210527,6.0,270.0,-17.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.0,1.102182119232618e-15
2012-11-13 05:00:00,71501,-10.2,81.0,1013.7832894736842,1014.0499342105264,7.0,292.5,-12.8,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.467156727579006,-2.67878402655563
2012-11-13 11:00:00,71501,-8.9,93.0,1012.0500986842104,1012.1834210526317,18.0,315.0,-9.8,69.56666666666666,-138.91666666666666,1.0,о.Хершел,12.72792206135786,-12.727922061357852
2012-11-13 17:00:00,71501,-9.4,92.0,1012.0500986842104,1012.1834210526317,19.0,292.5,-10.4,69.56666666666666,-138.91666666666666,1.0,о.Хершел,17.553711117714446,-7.27098521493671
2012-11-13 23:00:00,71501,-9.5,92.0,1008.7170394736844,1008.9836842105262,,315.0,-10.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,,
2012-11-14 05:00:00,71501,-10.4,90.0,1009.7836184210527,1010.0502631578947,15.0,315.0,-11.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,10.606601717798217,-10.60660171779821
2012-11-14 11:00:00,71501,-14.3,86.0,1012.9833552631578,1013.1166776315787,9.0,337.5,-16.1,69.56666666666666,-138.91666666666666,1.0,о.Хершел,3.444150891285806,-8.314915792601582
2012-11-14 17:00:00,71501,-14.1,89.0,1015.783125,1016.049769736842,14.0,315.0,-15.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.899494936611667,-9.899494936611664
2012-11-14 23:00:00,71501,-15.4,88.0,1018.582894736842,1018.7162171052632,14.0,315.0,-17.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.899494936611667,-9.899494936611664
2012-11-15 05:00:00,71501,-15.8,87.0,1018.4495723684213,1018.582894736842,14.0,315.0,-17.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,9.899494936611667,-9.899494936611664
2012-11-15 11:00:00,71501,-14.9,88.0,1016.8497039473683,1016.9830263157896,17.0,315.0,-16.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,12.02081528017131,-12.020815280171304
2012-11-15 17:00:00,71501,-14.2,88.0,1016.8497039473683,1016.9830263157896,16.0,292.5,-15.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,14.782072520180586,-6.12293491784144
